iter	RMSE
205	5317.400454
206	5316.647704
207	5312.913852
208	5308.984095
209	5306.840756
210	5304.311159
211	5301.754749
212	5299.878391
213	5297.981295
214	5289.493194
215	5283.601612
216	5281.853788
217	5278.650013
218	5277.71578
219	5274.162263
220	5272.721004
221	5271.560687
222	5266.639089
223	5265.026877
224	5263.861474
225	5261.81147
226	5259.078536
227	5257.703168
228	5256.410682
229	5253.072117
230	5244.020257
231	5243.261754
232	5242.088395
233	5239.594441
234	5238.362995
235	5234.245021
236	5231.39055
237	5229.334514
238	5227.565354
239	5225.54883
240	5222.505318
241	5219.647438
242	5214.269244
243	5211.323902
244	5210.195982
245	5208.791781
246	5207.344514
247	5204.501044
248	5198.18557
249	5194.966896
250	5193.510484
251	5192.606287
252	5189.821961
253	5187.414533
254	5185.307579
255	5184.446324
256	5183.751144
257	5182.271736
258	5180.931943
259	5178.573593
260	5175.106471
261	5173.733683
262	5166.782659
263	5165.582979
264	5162.166076
265	5159.548899
266	5156.718678
267	5155.779069
268	5153.982185
269	5153.00151
270	5151.676927
271	5150.528741
272	5149.052559
273	5147.418355
274	5142.838698
275	5138.27895
276	5135.825509
277	5130.742637
278	5129.882581
279	5129.154331
280	5128.491495
281	5126.109741
282	5119.865736
283	5116.7994
284	5114.302944
285	5112.386143
286	5110.885711
287	5109.607045
288	5106.890844
289	5105.500307
290	5104.47172
291	5103.727622
292	5100.336404
293	5099.478781
294	5096.378796
295	5093.710646
296	5090.780778
297	5087.727321
298	5086.959009
299	5086.445194
300	5085.019796
301	5083.15836
302	5081.997136
303	5080.707056
304	5078.786249
305	5076.921028
306	5071.260974
307	5070.470095
308	5068.108237
309	5065.891538
310	5063.64128
311	5062.806276
312	5061.152884
313	5058.254198
314	5056.397622
315	5055.134262
316	5052.504672
317	5049.5166
318	5046.651426
319	5045.401661
320	5043.654468
321	5042.025517
322	5041.226227
323	5040.115019
324	5038.472185
325	5037.884107
326	5036.12968
327	5035.18835
328	5033.945761
329	5031.263479
330	5029.719418
331	5027.714601
332	5025.908566
333	5023.206769
334	5022.57478
335	5020.571455
336	5019.288698
337	5018.318187
338	5016.849578
339	5014.59935
340	5013.303598
341	5011.625934
342	5010.259939
343	5009.265428
344	5007.139729
345	5005.60003
346	5003.110399
347	5002.335527
348	5000.247459
349	4998.77692
350	4997.775576
351	4995.688031
352	4994.879664
353	4993.323721
354	4991.957854
355	4989.376165
356	4986.771533
357	4985.970367
358	4983.5178
359	4982.127326
360	4977.806753
361	4976.437646
362	4975.654086
363	4975.035106
364	4973.700839
365	4971.301278
366	4970.658613
367	4969.080796
368	4967.569442
369	4965.622671
370	4963.471501
371	4955.037138
372	4954.378488
373	4952.944936
374	4952.141397
375	4949.914522
376	4942.026025
377	4940.155918
378	4939.669872
379	4939.175412
380	4936.792929
381	4936.002341
382	4934.503595
383	4933.641966
384	4931.787942
385	4930.149121
386	4929.245442
387	4928.759847
388	4927.783957
389	4925.944212
390	4925.371699
391	4924.254224
392	4922.243697
393	4920.36081
394	4919.730619
395	4917.742319
396	4916.408301
397	4915.079408
398	4914.235963
399	4912.491476
400	4905.213948
401	4903.507449
402	4899.734637
403	4899.075896
404	4897.940427
405	4896.225626
406	4895.110249
407	4894.410631
408	4893.119961
409	4892.131721
410	4890.219057
411	4889.752318
412	4887.937877
413	4886.512509
414	4885.846012
415	4885.278573
416	4884.004199
417	4882.843675
418	4880.812404
419	4880.230155
420	4877.724158
421	4876.764221
422	4869.966831
423	4868.811402
424	4865.277136
425	4863.957645
426	4863.03056
427	4862.374188
428	4860.315443
429	4859.727131
430	4858.884824
431	4857.94147
432	4856.597564
433	4855.265703
434	4854.464122
435	4852.929823
436	4846.600072
437	4844.913389
438	4844.455561
439	4843.36387
440	4842.854895
441	4842.256957
442	4840.805128
443	4840.382648
444	4839.205742
445	4837.830877
446	4836.218858
447	4833.19456
448	4832.699223
449	4832.095745
450	4830.898811
451	4829.415049
452	4828.503412
453	4827.947365
454	4826.799933
455	4825.86976
456	4825.452594
457	4823.894275
458	4822.347356
459	4821.14433
460	4819.282798
461	4818.830479
462	4817.57456
463	4817.206529
464	4815.976612
465	4814.91292
466	4813.244326
467	4810.579834
468	4809.32264
469	4808.415457
470	4807.189449
471	4806.093506
472	4804.956505
473	4803.275954
474	4801.961399
475	4801.374257
476	4800.532148
477	4800.061904
478	4799.545634
479	4799.168779
480	4797.784096
481	4797.127193
482	4795.561539
483	4794.855374
484	4793.15685
485	4791.019603
486	4788.301822
487	4785.423874
488	4784.970983
489	4783.700981
490	4782.411752
491	4781.737425
492	4780.916455
493	4779.45332
494	4778.337927
495	4777.822394
496	4776.27013
497	4774.760561
498	4774.071835
499	4772.597197
